salary,type,link,job_name
年収650万円〜900万円,正社員,https://job.yahoo.co.jp/jobs/detail/678f16053aefb260f0e249bc9d65acf6c3c24520ac46ed0bb3bf4f50f6546890?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,エンジニアポジション（１）Scala担当（２）Flutter担当【世界初、人工知能型教材の開発】
年収200万円〜600万円,正社員,https://job.yahoo.co.jp/company/1500136264/jobs/5ef0505228ce7d84c3bfede0835c5f9188deb2a1d93c199eb18a17b2e04e8654?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,システムエンジニア（自社製品開発）
非掲載,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355398&hid=4805b548e8f7d10a7bcc78b12d654d16ae8ea611f23e9378b4b47fd7fb4838c0&tm=1592135779424,【基盤エンジニア】
月給30万円〜70万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355399&hid=43ad46d3d47e5d08c6907eb88c90e059530fc730e9c790d214f64c9cef5990ba&tm=1592135779424,【仕事概要】
年収450万円〜600万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355400&hid=9f58ffa74d302a500366f81ec34528f10fbf2610a16ba6f623a2d5820bb68804&tm=1592135779424,【エンジニア募集】LINEトラベルのサービスを一緒に創りましょう！
月給20万円〜35万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355401&hid=6a2848eb3bffabe1ca9848899f7db79677f6420d2e7a6805c0f30642e22afa38&tm=1592135779424,ソフトウェアエンジニア／ビッグデータ解析・人工知能カンパニー
年収400万円〜703万円,正社員,https://c.stanby.com/v2/adpage?id=1478352822807355402&hid=1bee3be860d9ac4fd4cb12a823760405e3416ed899cd0168b1beccac7818cf5e&tm=1592135779424,スクラムマスター/自社サービス/環境づくり・Scrumチーム支援
年収270万円〜550万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823377784832&hid=1b5a7c496e66c927266a38fd654877cca8c70f3031001227dd00e5d627d35762&tm=1592135779560,《水道橋駅》SE【今までの経験を存分に活かせる環境年間休日120日以上社内イベント充実決算賞与あり】｜アプリケーション設計(オープンWEB系)
年収580万円〜700万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823377784833&hid=ecac9ba263cefb66334bbfc9581733bbcafd4a996c07b6d2f6e971b10cb620a3&tm=1592135779560,【東証一部上場/自社勤務】エンジニアリングマネージャー【toC向け自社サービス運営】
港区,月給80万円〜100万円,https://c.stanby.com/v2/adpage?id=1478352823377784834&hid=18d61fcd263b939acea9f97653c02caafd44130920facc969ca58dbd3001762f&tm=1592135779560,業務委託サーバーサイドエンジニア月給80万円～100万円
年収800万円〜900万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823377784835&hid=45f68a5940d0c41b0f2a3b132b1dd0c749b872c09530b0d2ee594d547f1d2656&tm=1592135779560,自社サービス開発（調達プロセスのDX／リーダー）※ミスミの注力システムIT投資額100億円超え
港区,月給80万円〜100万円,https://c.stanby.com/v2/adpage?id=1478352823377784836&hid=d54c59926196737e55c046529bc9e25a5b1f389b6e462b1e3952c6f840437910&tm=1592135779560,サーバーサイドエンジニア/業務委託/月給～100万円/高収入/完全週休2日制
年収500万円〜600万円,正社員,https://c.stanby.com/v2/adpage?id=1478352823377784837&hid=cd4bd243a2836583171c39b8c23dabb541530742e8a0141c6eb9883631fb9f2e&tm=1592135779560,【リーダー候補】プロダクト開発エンジニア※人口減少社会の課題解決事業のサポート
年収500万円〜750万円,正社員,https://job.yahoo.co.jp/jobs/detail/4688c605a4078163966f5e67858ee6f5d9429d8558eefe61a812342e9333c519?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,【サーバーサイドエンジニア/PM候補】物流危機を解決する製品開発【WEB面接可】
"年収450万円〜1,000万円",正社員,https://job.yahoo.co.jp/company/1000013632/jobs/fe9eccaaf5930cfbc7bd7974d706285be09373b6c369811ed08eb625e36e87ea?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,"【Java,Scala】アプリケーションエンジニア"
年収420万円〜720万円,正社員,https://job.yahoo.co.jp/jobs/detail/7f6dfab7906c68aeebc9031618dde0a2f654df408b20b62f6a955b10845385ed?keyword=scala&l=%E6%9D%B1%E4%BA%AC%E9%83%BD&side=1,プロダクトマネージャー（SIer出身の方歓迎）
